,Total Entries,Total Exits
7/5/2019,"6,750","6,203"
7/6/2019,"5,067","4,733"
7/7/2019,"3,309","3,225"
7/8/2019,"4,745","4,718"
7/9/2019,"7,084","6,901"
7/10/2019,"7,151","6,793"
7/11/2019,"6,770","6,401"
7/12/2019,"7,887","7,176"
7/13/2019,"6,058","5,720"
7/14/2019,"4,367","4,152"
7/15/2019,"6,442","6,067"
7/16/2019,"6,492","6,346"
7/17/2019,"6,586","6,119"
7/18/2019,"7,391","7,035"
7/19/2019,"6,272","6,008"
7/20/2019,"4,537","4,417"
7/21/2019,"3,314","3,158"
7/22/2019,"5,853","5,585"
7/23/2019,"6,460","6,084"
7/24/2019,"7,751","7,253"
7/25/2019,"7,342","6,755"
7/26/2019,"7,165","6,812"
7/27/2019,"5,831","5,694"
7/28/2019,"4,282","4,170"
7/29/2019,"5,940","5,715"
7/30/2019,"6,576","6,109"
7/31/2019,"6,193","5,968"
8/1/2019,"6,521","6,219"
8/2/2019,"6,214","5,673"
8/3/2019,"5,361","5,154"
8/4/2019,"4,506","4,043"
8/5/2019,"5,921","5,702"
8/6/2019,"6,298","5,954"
8/7/2019,"6,059","5,659"
8/8/2019,"6,325","5,809"
8/9/2019,"5,933","5,519"
8/10/2019,"5,083","4,710"
8/11/2019,"3,637","3,465"
8/12/2019,"5,621","5,416"
8/13/2019,"5,454","5,391"
8/14/2019,"5,870","5,460"
8/15/2019,"5,782","5,447"
8/16/2019,"5,911","5,557"
8/17/2019,"4,354","4,183"
8/18/2019,"2,913","2,804"
8/19/2019,"5,015","4,994"
8/20/2019,"5,389","5,362"
8/21/2019,"5,887","5,600"
8/22/2019,"5,684","5,369"
8/23/2019,"5,336","5,074"
8/24/2019,"4,969","4,690"
8/25/2019,"3,618","3,505"
8/26/2019,"5,226","5,042"
8/27/2019,"5,392","5,144"
8/28/2019,"5,732","5,641"
8/29/2019,"6,942","6,864"
8/30/2019,"6,970","6,772"
8/31/2019,"6,103","5,856"
9/1/2019,"4,869","4,292"
9/2/2019,"3,272","3,220"
9/3/2019,"4,997","4,957"
9/4/2019,"5,128","5,144"
9/5/2019,"5,645","5,339"
9/6/2019,"5,826","5,519"
9/7/2019,"4,147","3,969"
9/8/2019,"3,188","3,443"
9/9/2019,"5,050","4,921"
9/10/2019,"5,816","5,593"
9/11/2019,"5,767","5,607"
9/12/2019,"6,313","6,070"
9/13/2019,"6,354","5,939"
9/14/2019,"4,625","4,083"
9/15/2019,"3,528","3,145"
9/16/2019,"5,651","5,484"
9/17/2019,"6,090","5,956"
9/18/2019,"6,467","6,196"
9/19/2019,"6,504","5,934"
9/20/2019,"6,539","6,156"
9/21/2019,"4,888","4,704"
9/22/2019,"3,125","3,128"
9/23/2019,"5,895","5,569"
9/24/2019,"6,477","6,041"
9/25/2019,"6,358","6,047"
9/26/2019,"5,828","5,468"
9/27/2019,"6,427","5,848"
9/28/2019,"4,355","4,152"
9/29/2019,"3,269","3,197"
9/30/2019,"5,051","4,890"
10/1/2019,"6,006","5,705"
10/2/2019,"6,262","5,776"
10/3/2019,"5,951","5,627"
10/4/2019,"6,513","6,268"
10/5/2019,"5,130","4,969"
10/6/2019,"3,584","3,378"
10/7/2019,"5,536","5,144"
10/8/2019,"5,669","5,395"
10/9/2019,"5,654","5,397"
10/10/2019,"6,094","5,765"
10/11/2019,"6,695","6,354"
10/12/2019,"5,485","5,232"
10/13/2019,"4,424","4,083"
10/15/2019,"6,349","5,839"
10/16/2019,"5,501","5,154"
10/17/2019,"6,093","5,591"
10/18/2019,"6,651","6,129"
10/19/2019,"4,815","4,738"
10/20/2019,"1,731","1,820"
10/21/2019,"5,650","5,141"
10/22/2019,"5,376","5,328"
10/23/2019,"6,177","5,905"
10/24/2019,"6,352","5,812"
10/25/2019,"7,190","6,557"
10/26/2019,"4,945","4,812"
10/27/2019,"2,966","2,898"
10/28/2019,"5,638","5,509"
10/29/2019,"5,962","5,716"
10/30/2019,"5,901","5,609"
10/31/2019,"5,459","5,331"
11/1/2019,"6,228","6,086"
11/2/2019,"6,367","6,217"
11/3/2019,"3,621","3,264"
11/4/2019,"5,233","4,946"
11/5/2019,"5,835","5,628"
11/6/2019,"5,755","5,496"
11/7/2019,"5,902","5,625"
11/8/2019,"6,021","5,620"
11/9/2019,"4,277","3,521"
11/10/2019,"3,721","3,176"
11/12/2019,"5,953","5,559"
11/13/2019,"5,607","5,346"
11/14/2019,"5,925","5,502"
11/15/2019,"6,081","5,597"
11/16/2019,4,6
11/17/2019,4,7
11/18/2019,"5,801","5,643"
11/19/2019,"6,094","5,891"
11/20/2019,"7,075","7,392"
11/21/2019,"9,556","9,580"
11/22/2019,"9,409","8,974"
11/23/2019,"7,310","6,697"
11/24/2019,"4,109","3,032"
11/25/2019,"5,063","4,726"
11/26/2019,"5,208","4,761"
11/27/2019,"3,877","3,354"
11/28/2019,"1,315","1,125"
11/29/2019,"5,390","5,624"
11/30/2019,"4,377","4,674"
12/1/2019,"1,596","1,832"
12/2/2019,"4,542","4,695"
12/3/2019,"5,366","5,322"
12/4/2019,"5,873","5,650"
12/5/2019,"6,347","6,001"
12/6/2019,"7,750","7,407"
12/7/2019,"5,771","5,806"
12/8/2019,"3,289","3,385"
12/9/2019,"4,976","4,893"
12/10/2019,"5,203","4,386"
12/11/2019,"5,951","5,583"
12/12/2019,"6,298","6,341"
12/13/2019,"5,573","5,264"
12/14/2019,"4,926","4,974"
12/15/2019,"3,819","3,745"
12/16/2019,"4,649","4,543"
12/17/2019,"5,093","4,926"
12/18/2019,"5,314","5,177"
12/19/2019,"5,063","4,724"
12/20/2019,"5,172","5,257"
12/21/2019,"4,177","3,930"
12/22/2019,"3,013","2,947"
12/23/2019,"4,575","4,475"
12/24/2019,"1,905","1,645"
12/25/2019,534,544
12/26/2019,"4,094","4,081"
12/27/2019,"5,238","5,312"
12/28/2019,"7,161","6,859"
12/29/2019,"1,804","1,827"
12/30/2019,"5,220","5,128"
12/31/2019,"4,113","4,148"
1/1/2020,"3,290","3,257"
1/2/2020,"4,654","4,712"
1/3/2020,"4,860","4,866"
1/4/2020,"2,998","2,821"
1/5/2020,"2,236","2,102"
1/6/2020,"4,628","4,510"
1/7/2020,"4,749","4,896"
1/8/2020,"5,172","5,130"
1/9/2020,"5,352","4,972"
1/10/2020,"5,135","4,820"
1/11/2020,"3,612","3,578"
1/12/2020,"2,834","2,858"
1/13/2020,"5,043","5,068"
1/14/2020,"5,359","5,232"
1/15/2020,"5,754","5,258"
1/16/2020,"5,253","4,927"
1/17/2020,"4,966","5,018"
1/18/2020,"2,333","2,223"
1/19/2020,"2,597","2,363"
1/21/2020,"4,853","4,702"
1/22/2020,"5,042","4,849"
1/23/2020,"5,262","4,966"
1/24/2020,"5,301","5,112"
1/25/2020,"3,066","3,139"
1/26/2020,"2,326","2,346"
1/27/2020,"4,782","4,675"
1/28/2020,"5,166","4,948"
1/29/2020,"5,250","4,992"
1/30/2020,"5,293","5,169"
1/31/2020,"5,137","5,032"
2/1/2020,"3,075","3,052"
2/2/2020,"3,045","2,941"
2/3/2020,"4,993","4,887"
2/4/2020,"5,807","5,617"
2/5/2020,"5,163","4,906"
2/6/2020,"5,040","4,971"
2/7/2020,"5,327","5,002"
2/8/2020,"3,507","3,533"
2/9/2020,"2,407","2,314"
2/10/2020,"4,730","4,750"
2/11/2020,"5,375","5,140"
2/12/2020,"5,093","5,029"
2/13/2020,"5,360","5,110"
2/14/2020,"5,799","5,511"
2/15/2020,"3,671","3,503"
2/16/2020,"3,306","3,182"
2/18/2020,"5,428","5,252"
2/19/2020,"5,830","5,470"
2/20/2020,"5,702","5,480"
2/21/2020,"5,840","5,643"
2/22/2020,"4,069","4,002"
2/23/2020,"3,248","3,255"
2/24/2020,"5,455","5,094"
2/25/2020,"5,308","5,268"
2/26/2020,"5,712","5,497"
2/27/2020,"5,540","5,186"
2/28/2020,"5,430","4,897"
2/29/2020,"2,985","3,043"
3/1/2020,"2,724","2,713"
3/2/2020,"5,224","5,162"
3/3/2020,"5,164","5,051"
3/4/2020,"5,463","5,221"
3/5/2020,"5,690","5,406"
3/6/2020,"5,255","4,916"
3/7/2020,"3,622","3,623"
3/8/2020,"3,401","3,494"
3/9/2020,"5,789","5,479"
3/10/2020,"5,197","4,968"
3/11/2020,"4,976","4,637"
3/12/2020,"4,058","3,632"
3/13/2020,"3,351","3,088"
3/14/2020,"1,070","1,122"
3/15/2020,668,686
3/16/2020,"1,176","1,158"
3/17/2020,794,737
3/18/2020,642,625
3/19/2020,531,507
3/20/2020,473,486
3/21/2020,240,230
3/22/2020,165,194
3/23/2020,294,286
3/24/2020,321,287
3/25/2020,295,282
3/26/2020,344,377
3/27/2020,351,321
3/28/2020,179,177
3/29/2020,149,152
3/30/2020,280,289
3/31/2020,274,271
4/1/2020,235,246
4/2/2020,240,239
4/3/2020,246,268
4/4/2020,176,139
4/5/2020,138,135
4/6/2020,228,227
4/7/2020,202,205
4/8/2020,230,247
4/9/2020,193,210
4/10/2020,226,228
4/11/2020,124,124
4/12/2020,79,104
4/13/2020,164,168
4/14/2020,182,185
4/15/2020,199,220
4/16/2020,187,183
4/17/2020,203,211
4/18/2020,111,119
4/19/2020,91,113
4/20/2020,194,189
4/21/2020,199,202
4/22/2020,223,235
4/23/2020,192,200
4/24/2020,228,230
4/25/2020,147,137
4/26/2020,95,92
4/27/2020,207,192
4/28/2020,222,200
4/29/2020,213,217
4/30/2020,168,187
5/1/2020,240,236
5/2/2020,166,175
5/3/2020,111,111
5/4/2020,229,230
5/5/2020,216,238
5/6/2020,224,222
5/7/2020,233,236
5/8/2020,229,239
5/9/2020,139,157
5/10/2020,127,140
5/11/2020,224,225
5/12/2020,245,235
5/13/2020,240,253
5/14/2020,234,212
5/15/2020,256,267
5/16/2020,182,177
5/17/2020,138,144
5/18/2020,265,261
5/19/2020,259,242
5/20/2020,263,260
5/21/2020,250,268
5/22/2020,231,235
5/23/2020,202,194
5/24/2020,158,154
5/25/2020,151,170
5/26/2020,263,284
5/27/2020,233,258
5/28/2020,261,275
5/29/2020,286,271
5/30/2020,233,224
5/31/2020,225,228
6/1/2020,257,236
6/2/2020,306,299
6/3/2020,340,335
6/4/2020,304,346
6/5/2020,372,392
6/6/2020,586,606
6/7/2020,295,296
6/8/2020,364,360
6/9/2020,406,396
6/10/2020,343,357
6/11/2020,376,357
6/12/2020,395,395
6/13/2020,350,311
6/14/2020,235,260
6/15/2020,329,361
6/16/2020,377,385
6/17/2020,350,351
6/18/2020,350,354
6/19/2020,836,663
6/20/2020,274,253
6/21/2020,253,262
6/22/2020,420,403
6/23/2020,439,423
6/24/2020,444,442
6/25/2020,435,448
6/26/2020,513,464
6/27/2020,393,415
6/28/2020,269,291
6/29/2020,389,419
6/30/2020,417,430
7/1/2020,434,421
7/2/2020,485,436
7/4/2020,323,316
7/5/2020,245,268
7/6/2020,392,431
7/7/2020,176,244
7/8/2020,433,445
7/9/2020,453,468
7/10/2020,464,453
7/11/2020,351,341
7/12/2020,312,325
7/13/2020,426,426
7/14/2020,389,405
7/15/2020,475,480
7/16/2020,451,436
7/17/2020,431,449
7/18/2020,392,359
7/19/2020,251,266
7/20/2020,372,377
7/21/2020,411,398
7/22/2020,386,402
7/23/2020,433,420
7/24/2020,487,467
7/25/2020,493,427
7/26/2020,414,362
7/27/2020,518,493
7/28/2020,516,518
7/29/2020,538,534
7/30/2020,574,583
7/31/2020,503,455
8/1/2020,535,530
8/2/2020,395,395
8/3/2020,473,425
8/4/2020,416,374
8/5/2020,652,643
8/6/2020,568,484
8/7/2020,550,474
8/8/2020,549,518
8/9/2020,500,438
8/10/2020,463,452
8/11/2020,514,442
8/12/2020,477,455
8/13/2020,426,391
8/14/2020,511,410
8/15/2020,508,518
8/16/2020,393,389
8/17/2020,589,590
8/18/2020,645,661
8/19/2020,580,564
8/20/2020,619,582
8/21/2020,690,647
8/22/2020,578,612
8/23/2020,549,574
8/24/2020,563,563
8/25/2020,696,647
8/26/2020,650,609
8/27/2020,680,691
8/28/2020,757,811
8/29/2020,526,553
8/30/2020,661,650
8/31/2020,535,529
9/1/2020,629,622
9/2/2020,598,615
9/3/2020,631,580
9/4/2020,779,704
9/5/2020,779,749
9/6/2020,721,656
9/7/2020,540,540
9/8/2020,618,621
9/9/2020,599,599
9/10/2020,549,571
9/11/2020,702,695
9/12/2020,654,692
9/13/2020,542,565
9/14/2020,621,587
9/15/2020,665,649
9/16/2020,680,680
9/17/2020,607,666
9/18/2020,722,666
9/19/2020,909,944
9/20/2020,643,627
9/21/2020,621,662
9/22/2020,657,662
9/23/2020,713,732
9/24/2020,726,736
9/25/2020,846,773
9/26/2020,788,747
9/27/2020,674,641
9/28/2020,699,703
9/29/2020,639,636
9/30/2020,693,669
10/1/2020,689,712
10/2/2020,755,735
10/3/2020,960,914
10/4/2020,613,632
10/5/2020,651,667
10/6/2020,688,696
10/7/2020,687,711
10/8/2020,679,687
10/9/2020,777,729
10/10/2020,854,815
10/11/2020,504,474
10/13/2020,671,710
10/14/2020,732,746
10/15/2020,716,776
10/16/2020,677,679
10/17/2020,946,"1,023"
10/18/2020,639,669
10/19/2020,716,731
10/20/2020,660,691
10/21/2020,716,717
10/22/2020,737,782
10/23/2020,799,760
10/24/2020,856,835
10/25/2020,437,469
10/26/2020,638,662
10/27/2020,685,686
10/28/2020,642,671
10/29/2020,551,551
10/30/2020,720,719
10/31/2020,799,757
11/1/2020,344,348
11/2/2020,635,674
11/3/2020,668,678
11/4/2020,549,585
11/5/2020,638,641
11/6/2020,750,728
11/7/2020,"1,057","1,076"
11/8/2020,653,649
11/9/2020,664,717
11/10/2020,696,718
11/12/2020,603,602
11/13/2020,786,751
11/14/2020,845,908
11/15/2020,449,507
11/16/2020,644,658
11/17/2020,619,632
11/18/2020,640,662
11/19/2020,601,623
11/20/2020,662,677
11/21/2020,679,729
11/22/2020,568,605
11/23/2020,549,572
11/24/2020,574,540
11/25/2020,517,467
11/26/2020,190,172
11/27/2020,358,409
11/28/2020,346,433
11/29/2020,292,340
11/30/2020,408,431
12/1/2020,472,512
12/2/2020,539,549
12/3/2020,561,550
12/4/2020,530,543
12/5/2020,413,460
12/6/2020,349,360
12/7/2020,536,560
12/8/2020,518,512
12/9/2020,517,522
12/10/2020,540,523
12/11/2020,573,610
12/12/2020,472,508
12/13/2020,386,397
12/14/2020,458,485
12/15/2020,564,568
12/16/2020,432,429
12/17/2020,520,489
12/18/2020,551,526
12/19/2020,404,417
12/20/2020,268,277
12/21/2020,478,485
12/22/2020,506,503
12/23/2020,474,484
12/24/2020,310,276
12/25/2020,118,105
12/26/2020,267,262
12/27/2020,236,253
12/28/2020,467,467
12/29/2020,457,449
12/30/2020,469,461
12/31/2020,403,429
1/1/2021,156,173
1/2/2021,357,359
1/3/2021,219,242
1/4/2021,469,541
1/5/2021,516,518
1/6/2021,472,480
1/7/2021,440,443
1/8/2021,493,489
1/9/2021,370,375
1/10/2021,277,286
1/11/2021,548,535
1/12/2021,544,561
1/13/2021,619,629
1/14/2021,572,579
1/15/2021,564,561
1/16/2021,335,303
1/17/2021,262,231
1/19/2021,378,383
1/20/2021,253,286
1/21/2021,483,426
1/22/2021,568,593
1/23/2021,462,467
1/24/2021,309,333
1/25/2021,538,543
1/26/2021,557,552
1/27/2021,523,482
1/28/2021,591,555
1/29/2021,606,594
1/30/2021,538,546
1/31/2021,314,340
2/1/2021,451,450
2/2/2021,569,565
2/3/2021,628,634
2/4/2021,607,626
2/5/2021,707,643
2/6/2021,570,526
2/7/2021,362,336
2/8/2021,566,561
2/9/2021,584,601
2/10/2021,594,600
2/11/2021,585,555
2/12/2021,653,629
2/13/2021,436,435
2/14/2021,383,422
2/16/2021,622,633
2/17/2021,634,642
2/18/2021,387,392
2/19/2021,684,611
2/20/2021,517,542
2/21/2021,396,436
2/22/2021,541,555
2/23/2021,635,663
2/24/2021,710,708
2/25/2021,702,705
2/26/2021,689,684
2/27/2021,17,10
2/28/2021,0,1
3/1/2021,604,627
3/2/2021,648,658
3/3/2021,716,706
3/4/2021,662,691
3/5/2021,722,726
3/6/2021,647,646
3/7/2021,374,404
3/8/2021,652,657
3/9/2021,709,725
3/10/2021,777,785
3/11/2021,781,763
3/12/2021,825,810
3/13/2021,719,746
3/14/2021,511,513
3/15/2021,604,640
3/16/2021,683,672
3/17/2021,792,766
3/18/2021,724,718
3/19/2021,800,781
3/20/2021,677,720
3/21/2021,508,534
3/22/2021,652,678
3/23/2021,669,702
3/24/2021,648,660
3/25/2021,804,819
3/26/2021,923,913
3/27/2021,841,864
3/28/2021,416,441
3/29/2021,721,722
3/30/2021,838,850
3/31/2021,673,718
4/1/2021,798,808
4/2/2021,860,873
4/3/2021,837,862
4/4/2021,615,670
4/5/2021,779,825
4/6/2021,824,791
4/7/2021,851,872
4/8/2021,869,872
4/9/2021,899,828
4/10/2021,797,816
4/11/2021,569,622
4/12/2021,719,713
4/13/2021,842,799
4/14/2021,752,790
4/15/2021,903,936
4/16/2021,991,942
4/17/2021,885,883
4/18/2021,594,670
4/19/2021,798,755
4/20/2021,911,965
4/21/2021,844,809
4/22/2021,864,815
4/23/2021,944,913
4/24/2021,843,738
4/25/2021,550,526
4/26/2021,772,833
4/27/2021,912,944
4/28/2021,941,941
4/29/2021,924,895
4/30/2021,"1,018",989
5/1/2021,925,927
5/2/2021,621,716
5/3/2021,810,845
5/4/2021,916,962
5/5/2021,977,941
5/6/2021,998,962
5/7/2021,"1,019","1,034"
5/8/2021,883,933
5/9/2021,623,667
5/10/2021,857,899
5/11/2021,861,838
5/12/2021,975,962
5/13/2021,"1,115","1,071"
5/14/2021,"1,193","1,167"
5/15/2021,"1,061","1,148"
5/16/2021,682,793
5/17/2021,955,928
5/18/2021,998,969
5/19/2021,"1,127","1,126"
5/20/2021,"1,116","1,113"
5/21/2021,"1,467","1,412"
5/22/2021,"1,485","1,507"
5/23/2021,"1,008","1,047"
5/24/2021,"1,143","1,148"
5/25/2021,"1,339","1,353"
5/26/2021,"1,244","1,187"
5/27/2021,"1,448","1,444"
5/28/2021,"1,567","1,527"
5/29/2021,"1,277","1,315"
5/30/2021,"1,284","1,275"
5/31/2021,"1,227","1,353"
6/1/2021,"1,589","1,570"
6/2/2021,"1,605","1,641"
6/3/2021,"1,553","1,507"
6/4/2021,"1,755","1,714"
6/5/2021,"1,888","1,824"
6/6/2021,"1,386","1,429"
6/7/2021,"1,678","1,622"
6/8/2021,"1,750","1,604"
6/9/2021,"1,688","1,689"
6/10/2021,"1,817","1,675"
6/11/2021,"1,542","1,534"
6/12/2021,"2,281","2,524"
6/13/2021,"1,536","1,643"
6/14/2021,"2,066","1,995"
6/15/2021,"2,198","2,051"
6/16/2021,"2,101","2,116"
6/17/2021,"2,438","2,337"
6/18/2021,"2,742","2,613"
6/19/2021,"2,147","2,141"
6/20/2021,"1,671","1,607"
6/21/2021,"2,002","1,896"
6/22/2021,"1,773","1,690"
6/23/2021,"2,514","2,427"
6/24/2021,"2,626","2,497"
6/25/2021,"2,583","2,555"
6/26/2021,"2,461","2,463"
6/27/2021,"1,766","1,779"
6/28/2021,"2,189","2,060"
6/29/2021,"2,367","2,191"
6/30/2021,"2,048","1,997"
7/1/2021,"2,142","2,052"
7/2/2021,"2,851","2,720"
7/3/2021,"2,734","2,699"
7/4/2021,"3,083","3,241"
7/5/2021,"2,116","2,031"
7/6/2021,"2,401","2,189"
7/7/2021,"2,428","2,408"
7/8/2021,"2,407","2,304"
7/9/2021,"2,707","2,517"
7/10/2021,"2,502","2,617"
7/11/2021,"1,903","2,010"
7/12/2021,"2,385","2,252"
7/13/2021,"2,667","2,580"
7/14/2021,"2,507","2,361"
7/15/2021,"2,971","2,727"
7/16/2021,"2,973","2,791"
7/17/2021,"2,129","2,270"
7/18/2021,"1,903","1,859"
7/19/2021,"2,446","2,362"
7/20/2021,"2,535","2,376"
7/21/2021,"2,345","2,176"
7/22/2021,"2,555","2,374"
7/23/2021,"2,820","2,689"
7/24/2021,"2,585","2,543"
7/25/2021,"1,962","1,941"
7/26/2021,"2,437","2,206"
7/27/2021,"2,196","2,192"
7/28/2021,"2,134","2,010"
7/29/2021,"2,256","2,107"
7/30/2021,"2,579","2,297"
7/31/2021,"2,485","2,456"
8/1/2021,"1,652","1,733"
8/2/2021,"2,118","2,130"
8/3/2021,"2,149","2,060"
8/4/2021,"2,143","2,035"
8/5/2021,"1,940","1,899"
8/6/2021,"2,123","2,039"
8/7/2021,17,19
8/8/2021,12,10
8/9/2021,"1,732","1,726"
8/10/2021,"1,684","1,655"
8/11/2021,"1,499","1,517"
8/12/2021,"1,671","1,580"
8/13/2021,"1,664","1,615"
8/14/2021,"2,150","2,118"
8/15/2021,"1,759","1,803"
8/16/2021,"1,387","1,342"
8/17/2021,"1,768","1,666"
8/18/2021,"1,439","1,462"
8/19/2021,"1,850","1,676"
8/20/2021,"1,526","1,419"
8/21/2021,"2,096","2,136"
8/22/2021,"1,577","1,571"
8/23/2021,"1,749","1,709"
8/24/2021,"1,828","1,606"
8/25/2021,"1,705","1,653"
8/26/2021,"1,649","1,608"
8/27/2021,"1,775","1,741"
8/28/2021,28,30
8/29/2021,11,10
8/30/2021,"1,533","1,565"
8/31/2021,"1,696","1,715"
9/1/2021,"1,292","1,301"
9/2/2021,"1,840","1,773"
9/3/2021,"2,521","2,389"
9/4/2021,"2,955","3,074"
9/5/2021,"2,413","2,378"
9/6/2021,"2,342","2,223"
9/7/2021,"1,805","1,822"
9/8/2021,"1,772","1,744"
9/9/2021,"1,844","1,834"
